obs,中文名,英文名,评分,评价数,近期售出数,价格,种类,葡萄品种,年份,COO原产地,级别,酒精度,容量,香味分类,色泽,酒体,口感分类,建议醒酒时间,搭配菜肴,品鉴,商品ID
599,"
								【中级庄】派德鹏庄园干红葡萄酒（又名贝桥城堡）",CHATEAU PEY DE PONT,"
												80%
										",2,近期售出数 287,119,"
											红葡萄酒 干红","
											美乐(Merlot),赤霞珠(Cabernet Sauvignon),品丽珠(Cabernet Franc)",  ,"
											法国(France) 波尔多(Bordeaux)","
											AOC","
											0.13","
											750ml","
											明显的黑色水果，烤面包及摩卡咖啡的香气","
											深宝石红色","
											中","
											饱满","
											30-60分钟","
											极好的搭配烧烤，红肉，和柔和的奶酪搭配也适宜。","
											12-18个月",6228080
600,"
								拉昂城堡佳酿干红葡萄酒6支装",  ,"
												100%
										",0,近期售出数 33,349,"
																红葡萄酒 干红","
																赤霞珠、梅洛",  ,"
																法国(France) 波尔多(Bordeaux)","
																AOP","
																13%vol","
																750ml","
																红色水果","
																宝石红色","
																中","
																圆润","
																15-20分钟","
																肉类、各种奶酪","
																无",6235854
601,"
								热销起泡双支组合（恋爱季桃红+爱之湾谜蓝）",  ,"
												90%
										",2,近期售出数 167,89,"
																起泡酒 甜起泡酒","
																莫斯卡托Moscato","
																0000","
																西班牙(Spain) 卡斯蒂利亚-拉曼恰(Castile-La Mancha)","
																西班牙优质酒庄","
																7.0%","
																750ml","
																果香和花香","
																蓝色","
																中高","
																清爽","
																即开即饮","
																此款酒适合冰镇后单独饮用或搭配任何饮食。","
																无",6233068
602,"
								西莫干红葡萄酒-6支装",  ,"
												90%
										",39,近期售出数 768,239,"
																红葡萄酒 半干红","
																蒙纳斯翠尔(Monastrell)","
																0000","
																西班牙(Spain) 卡斯蒂利亚-拉曼恰(Castile-La Mancha)","
																D.O.","
																12.5%","
																750ml","
																果香","
																宝石红色","
																中","
																平衡","
																西班牙胡米利亚畅销的DO酒","
																建议搭配各类肉食炖菜和各种地中海风味的菜肴，适合任何场所饮用。","
																无",5193135
603,"
								【名庄】宝石庄园干红葡萄酒2007（又名：小宝嘉龙）",Le Petit Caillou,"
												100%
										",8,近期售出数 848,228,"
											红葡萄酒 干红","
											50%赤霞珠(Cabernet Sauvignon),43%美乐(Merlot),7%品丽珠(Cabernet Franc)","
											2007","
											法国(France) 波尔多(Bordeaux)","
											AOC","
											13.0%","
											750ml","
											盆子，香料","
											宝石红色","
											中高","
											饱满","
											30分钟","
											红肉类食物","
											16-18个月",5197664
604,"
								*伊拉苏总统之选珍藏梅洛干红*",Errazuriz President's Choice Reserve Merlot,"
												90%
										",8,近期售出数 5472,158,"
											红葡萄酒 干红","
											100%梅洛",  ,"
											智利(Chile) 中央山谷(Central Valley)","
											智利优质酒庄","
											13.5%","
											750ml","
											红色系水果","
											宝石红","
											中","
											圆润","
											15-30分钟","
											意面、白肉、奶酪","
											4个月",6226538
605,"
								意大利弗莱斯凯罗葡萄酒（桃红）",Freschello Rosato ,"
												80%
										",318,近期售出数 19699,49.3,"
											桃红葡萄酒 半干型桃红","
											100%梅洛(Merlot)","
											0000","
											意大利(Italy) 威尼托(Veneto)","
											意大利/威尼托地方餐酒 V.D.T","
											10.5%","
											750ml","
											桃 荔枝 焦糖","
											桃红色","
											中高","
											圆润","
											即开即饮","
											意大利面条，肉类等",  ,1402
606,"
								速度与基情(康纳斯顿+雪鹿山)",  ,"
												90%
										",49,近期售出数 611,99,"
																红葡萄酒 干红","
																70%梅洛(Merlot)、30%赤霞珠(Cabernet Sauvignon) ","
																0000","
																智利(Chile) 中央山谷(Central Valley)","
																智利优质酒庄","
																13.5%","
																750ml","
																黑莓子，李子和樱桃","
																宝石红","
																中高","
																饱满","
																15分钟","
																烤禽肉，羊羔和辣鱼","
																无",6212167
607,"
								赛艾罗干红葡萄酒（FSA）",El Circulo,"
												100%
										",5,近期售出数 179,288,"
											红葡萄酒 干红","
											100%丹魄(Tempranillo)",  ,"
											西班牙(Spain) 里奥哈(Rioja)","
											D.O.C. Rioja","
											13.0%","
											750ml","
											果香","
											红宝石色略带紫色调","
											中低","
											圆润","
											AISA WINE TROPHY GOLD","
											芝士，肉酱面","
											无",6215206
608,"
								张裕加气苹果酒  1.5L",  ,"
												90%
										",7,近期售出数 221,39,"
											起泡酒 干起泡酒",  ,  ,"
											中国(China) 其他",  ,  ,  ,  ,  ,  ,"
											清雅",  ,  ,  ,6204510
609,"
								贝勒堡干红葡萄酒2012",Chateau Pellebouc 2012,"
												100%
										",0,近期售出数 257,242,"
											红葡萄酒 干红",  ,  ,"
											法国(France) 波尔多(Bordeaux)",  ,  ,  ,  ,  ,  ,"
											清雅",  ,  ,  ,6214623
610,"
								冰飞艳草莓果味起泡葡萄酒（又名：冰飞艳起泡葡萄酒）375ml",Fresita 375ml,"
												80%
										",61,近期售出数 3161,85,"
											起泡酒 甜起泡酒","
											莎当妮(Chardonnay)、长相思(Sauvignon Blanc)、草莓汁(Strawberry juice)","
											0000","
											智利(Chile) 中央山谷(Central Valley)","
											智利优质酒庄","
											8.0%","
											375ml","
											草莓、青苹果、水梨","
											新鲜、活泼并漂亮的玫瑰色","
											轻","
											清爽","
											即开即饮","
											适合各种庆祝场合，或甜点的搭配","
											无",5159989
611,"
								【名庄】大宝庄园干红2010",Chateau Talbot 2010,"
												80%
										",1,近期售出数 108,629,"
											红葡萄酒 干红","
											赤霞珠(Cabernet Sauvignon)、梅洛(Merlot)、味尔多(Petit Verdot)",  ,"
											法国(France) 波尔多(Bordeaux)","
											四级庄",  ,"
											750ML",  ,  ,  ,"
											饱满",  ,  ,  ,6230333
612,"
								农场之家魁多里小丘干红葡萄酒2010",Fattoria Casa di Terra  Poggio Quercolio 2010,"
												90%
										",8,近期售出数 484,228,"
											红葡萄酒 干红","
											85%希拉（Syrah）,15%赤霞珠（Cabernet Sauvignon）","
											2010","
											意大利(Italy) 托斯卡纳(Tuscany)","
											托斯卡纳I.G.T","
											15%","
											750ml","
											青椒，薄荷，烟草，黑色水果","
											宝石红色","
											中高","
											饱满","
											30分钟","
											红肉，芝士，羊肉等","
											12个月",5196621
613,"
								甜秘密红葡萄酒",Dolce Segreto Vino Rosso,"
												90%
										",16,近期售出数 2333,88,"
											红葡萄酒 干红","
											40%美乐(Merlot),40%萨兰托(Salento),20%赤霞珠(Cabernet Sauvignon)",  ,"
											意大利(Italy) 伦巴蒂(Lombardy)","
											VDT","
											12.5%","
											750ml","
											樱桃，树莓成熟水果味","
											宝石红色","
											中高","
											饱满","
											20分钟","
											适合搭配红烧肉，家禽，奶酪","
											无",5181734
614,"
								贝尔莱珍藏干红葡萄酒-6支装",Beronia Reserva,"
												100%
										",25,近期售出数 588,798,"
																红葡萄酒 干红","
																94%丹魄 3%格拉西亚诺3%玛祖爱罗",  ,"
																西班牙(Spain) 马德里(Madrid)","
																里奥哈法定产区 D.O.C","
																14.0%","
																750ml","
																黑色水果、甘草","
																宝石红色","
																中高","
																饱满","
																60-120分钟","
																红肉类食物","
																12-18个月",6222587
615,"
								风之语部落黑皮诺红葡萄酒",Trivento Tribu Pinot Noir,"
												70%
										",3,近期售出数 128,79,"
											红葡萄酒 半干红","
											黑皮诺(Pinot Noir)","
											2011","
											阿根廷(Argentina) 门多萨(Mendoza)","
											阿根廷优质酒庄","
											13.5%","
											750ml","
											浓郁的水果芳香，含有李子和樱桃的味道","
											深宝石红色","
											中","
											清雅","
											15分钟","
											红肉类","
											2个月",5172617
616,"
								【中级庄】雪兰城堡干红2015（又名西航/希兰城堡）",Chateau Siran 2015,"
												100%
										",0,近期售出数 71,319,"
											红葡萄酒 干红","
											55% 梅乐, 38% 赤霞珠, 7%小味铎",  ,"
											法国(France) 波尔多(Bordeaux)","
											波尔多特级酒庄联合会（Union Des Grands Crus De Bordeaux）的成员",  ,"
											750ML","
											成熟的黑莓、树莓和甘草香","
											深红色","
											中","
											饱满",  ,  ,  ,6234951
617,"
								意大利之花红起泡葡萄酒 蓝布鲁斯科",Cavicchioli Rosso Lambrusco,"
												100%
										",2,近期售出数 186,88,"
											起泡酒 半甜型起泡酒","
											朗布罗斯科格斯帕罗萨(Lambrusco Grasparossa),朗布罗斯科萨拉米诺(Lambrusco Salamino),朗布罗斯科索巴拉(Lambrusco Sorbara)",  ,"
											意大利(Italy) 艾米利亚·罗马涅(Emillia Romagna)","
											DOC","
											9.5%","
											750ml","
											紫罗兰的芳醇","
											深紫色","
											轻","
											饱满","
											即开即饮","
											红肉类食物及甜点","
											无",6223751
618,"
								（国内提货）龙船庄园红葡萄酒2017期酒",Beychevelle 2017,"
												100%
										",0,近期售出数 22,718,"
											红葡萄酒 干红",  ,  ,"
											法国(France) 波尔多(Bordeaux)",  ,  ,"
											750ML",  ,  ,  ,"
											饱满",  ,  ,  ,6238490
619,"
								（国内提货）芳宝庄园干红葡萄酒2017期酒",Fombrauge 2017,"
												100%
										",0,近期售出数 26,265,"
											红葡萄酒 干红",  ,  ,"
											法国(France) 波尔多(Bordeaux)",  ,  ,"
											750ML",  ,  ,"
											中高","
											饱满",  ,  ,  ,6238322
620,"
								（香港提货）木桐城堡干红葡萄酒2017期酒",Mouton 2017,"
												100%
										",0,近期售出数 43,3088,"
											红葡萄酒 干红",  ,  ,"
											法国(France) 波尔多(Bordeaux)",  ,  ,"
											750ML",  ,  ,  ,"
											饱满",  ,  ,  ,6238948
621,"
								蒙特斯欧法M干红葡萄酒（又名：蒙特斯酒庄阿尔法M红葡萄酒）",Montes Alpha M,"
												100%
										",17,近期售出数 657,689,"
											红葡萄酒 干红","
											80%赤霞珠(Cabernet Sauvignon),10%品丽珠(Cabernet Franc),5%美乐(Merlot),5%小味多(Petit Verdot)","
											2009","
											智利(Chile) 中央山谷(Central Valley)","
											智利优质酒庄","
											14.5%","
											750ML","
											青柠、黑梅果香,能嗅品出焦糖的层层香味","
											深宝石红色","
											中高","
											饱满","
											120分钟","
											红肉类食物","
											18个月",5168902
