"Year","V1_p1_0","V1_p1_1","V1_p1_2","V1_p1_3","V1_p1_4","V1_p1_5","V1_p1_6","V1_p1_7","V1_p1_8","V1_p1_9","V1_p1_10","V1_p1_11","V1_p1_12","V1_p1_13","V1_p1_14","V1_p1_15","V1_p1_16","V1_p1_17","V1_p1_18","V1_p1_19"
2009,"江苏",4017.36,568.48,11.19,284.75,680.63,117.02,77.18,299.17,198.21,147.6,474.93,403.27,230.87,221.75,88.87,14.17,24.76,2,172.53
2009,"浙江",2653.35,397.69,5.48,216.98,519.33,99.3,64.09,153.08,177.05,55.42,224.61,236.08,246.36,105.18,55.09,2.04,17.8,0.15,77.59
2009,"安徽",2141.92,267.5,2.97,105.32,323.79,36.47,42.14,303.96,165.74,59.27,165.85,259.21,142.73,99.71,57.23,1.04,11.5,7.07,90.42
2009,"福建",1411.82,203.82,3.26,99.47,277.55,27.89,25.77,132.85,93.39,33.83,78.44,120.89,127.62,43.98,49.84,0.21,3.13,0.24,89.63
2009,"江西",1562.37,193.42,3.25,86.22,251.93,13.4,22.93,219.34,120.55,43.14,79.71,203.41,112.96,79.65,62.13,0.52,4,2.05,63.78
2009,"山东",3267.67,490.14,8.42,197.37,613.49,62.88,70.4,342.79,189.24,76.17,311.93,369.35,174.25,135.07,82.53,0.87,25.11,14.99,102.66
2009,"河南",2905.76,459.01,2.56,167.14,526.14,35.52,58.67,403.62,223.15,92.98,130.89,361.6,177.62,74.77,80.89,6.69,6.07,7.94,90.52
2009,"湖北",2090.92,308.4,1.71,137.57,317.29,25.33,36.03,343.98,139.24,74.15,112.34,254.92,84.92,74.27,56.3,2,6.95,2.27,113.25
2009,"湖南",2210.44,336.07,6.67,125.28,357.58,29.62,33.08,360.75,159.2,73.63,144.05,276.29,117.24,75.94,52.13,1.38,NA,NA,3.12
2009,"广东",4334.37,625.26,8.34,432.99,803.2,168.5,111.5,401.5,252.85,100.8,358.63,279.21,249.13,128.48,81.31,21.89,15.84,4.58,290.34
2009,"广西",1621.82,237.08,5.18,107.7,296.6,18.07,29.27,203.69,116.15,49.92,104.08,210.74,81.55,69.47,32.79,0.43,NA,NA,3.8
2009,"海南",486.06,55.65,1.45,32.88,74.5,6.07,9.75,79.2,30.13,18.51,28.9,83.08,28.5,11.58,5.21,0.04,NA,NA,1.44
2009,"重庆",1292.09,156.9,3.49,71.67,190.28,15.55,19.04,234.62,76.73,50.05,177.08,125.42,64.54,45.25,26.55,0.47,3.71,0.35,30.39
2009,"四川",3590.72,391.49,8.68,182.79,451.44,28.64,45.7,455.91,219.1,114.47,154.05,322.76,170.63,109.03,63.92,2.08,684.32,7.88,177.81
2009,"贵州",1372.27,196.78,2.81,82.95,256.72,14.27,23.62,150.04,102.84,55.31,43.74,204.13,120.8,36.02,19.58,0.13,NA,NA,4.93
2009,"云南",1952.34,237.22,4.62,134.56,308.18,18.99,32.38,304.1,151.29,82.16,75.78,267.28,159.52,42.75,32.94,2.85,0.42,31.02,66.29
2009,"西藏",470.13,85.72,1.13,36.78,61.04,2.69,13.36,33.35,22.09,9.75,19.12,84.71,54.92,12.87,12.69,0.04,NA,NA,0.49
2009,"陕西",1841.64,261.55,2.42,94.53,310.96,20.84,40.89,287.1,125.83,79.5,97.07,220.72,109.4,53.7,33.54,4.01,68.25,0.51,30.82
2009,"甘肃",1246.28,150.07,1.65,57.52,206.36,10.18,24.5,199.75,88.37,53.15,45.47,158.95,61.17,19.45,19.05,0.04,115.39,2.01,33.19
2009,"青海",486.75,54.88,0.83,26.08,61.82,4.78,15.58,94.14,32.48,28.98,22.93,57.85,43.35,14.69,7.24,NA,NA,NA,11.32
2009,"宁夏",432.36,46.97,0.49,24.17,63.5,4.4,9.03,47.68,22.92,22.59,42.56,68.68,20.39,14.29,14.31,6.41,NA,NA,7.26
2009,"新疆",1346.91,195.64,2.61,87.29,240.15,16.14,33.34,177.49,84.94,36.42,79.03,196.78,65.91,28.3,27.1,2.29,NA,NA,2.84
